Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Diagnostics & Research,35.07B
AA,Alcoa,Aluminum,5.04B
AAC,Ares Acquisition,Shell Companies,754.76M
AACG,ATA Creativity Global,Education & Training Services,38.85M
AACI,Armada Acquisition I,Shell Companies,85.65M
AACT,Ares Acquisition Corporation II,Shell Companies,639.44M
AADI,Aadi Bioscience,Biotechnology,174.83M
AAIC,Arlington Asset Investment,REIT - Mortgage,130.88M
AAL,American Airlines Group,Airlines,9.53B
AAMC,Altisource Asset Management,Asset Management,15.15M
AAME,Atlantic American,Insurance - Life,40.80M
AAN,The Aaron's Company,Rental & Leasing Services,366.42M
AAOI,Applied Optoelectronics,Semiconductors,417.35M
AAON,"AAON, Inc.",Building Products & Equipment,4.95B
AAP,Advance Auto Parts,Specialty Retail,3.81B
AAPL,Apple,Consumer Electronics,"2,792.42B"
AAT,American Assets Trust,REIT - Diversified,1.60B
AAU,Almaden Minerals,Gold,17.13M
AB,AllianceBernstein Holding L.P.,Asset Management,3.45B
ABBV,AbbVie,Drug Manufacturers - General,258.92B
ABC,AmerisourceBergen,Medical Distribution,36.05B
ABCB,Ameris Bancorp,Banks - Regional,2.73B
ABCL,AbCellera Biologics,Biotechnology,1.59B
ABCM,Abcam,Biotechnology,5.37B
ABEO,Abeona Therapeutics,Biotechnology,97.29M
ABEV,Ambev,Beverages - Brewers,45.04B
ABG,Asbury Automotive Group,Auto & Truck Dealerships,4.50B
ABIO,ARCA biopharma,Biotechnology,29.54M
ABL,Abacus Life,Insurance-Life,450.80M
ABLV,Hainan Manaslu Acquisition,Shell Companies,52.45M
ABM,ABM Industries,Specialty Business Services,3.01B
ABNB,Airbnb,Travel Services,80.26B
ABOS,Acumen Pharmaceuticals,Biotechnology,364.57M
ABR,Arbor Realty Trust,REIT - Mortgage,2.90B
ABSI,Absci,Biotechnology,155.75M
ABT,Abbott Laboratories,Medical Devices,180.84B
ABUS,Arbutus Biopharma,Biotechnology,340.14M
ABVC,ABVC BioPharma,Biotechnology,6.76M
AC,Associated Capital Group,Capital Markets,768.44M
ACA,Arcosa,Infrastructure Operations,3.73B
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,114.93M
ACAC,Acri Capital Acquisition,Shell Companies,64.21M
ACAD,ACADIA Pharmaceuticals,Biotechnology,4.65B
ACAH,Atlantic Coastal Acquisition,Shell Companies,125.83M
ACAQ,Athena Consumer Acquisition,Shell Companies,116.68M
ACAX,Alset Capital Acquisition,Shell Companies,49.98M
ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,171.91M
ACBA,Ace Global Business Acquisition,Shell Companies,43.24M
ACCD,Accolade,Health Information Services,979.42M
ACCO,ACCO Brands,Business Equipment & Supplies,460.35M
ACDC,ProFrac Holding,Oil & Gas Equipment & Services,1.63B
ACEL,Accel Entertainment,Gambling,977.88M
ACER,Acer Therapeutics,Biotechnology,13.82M
ACET,Adicet Bio,Biotechnology,71.92M
ACGL,Arch Capital Group,Insurance - Diversified,27.83B
ACGN,Aceragen,Biotechnology,3.24M
ACHC,Acadia Healthcare Company,Medical Care Facilities,6.99B
ACHL,Achilles Therapeutics,Biotechnology,36.85M
ACHR,Archer Aviation,Aerospace & Defense,1.48B
ACHV,Achieve Life Sciences,Biotechnology,97.93M
ACI,Albertsons Companies,Grocery Stores,12.71B
ACIC,American Coastal Insurance,Shell Companies,316.40M
ACIU,AC Immune,Biotechnology,255.61M
ACIW,ACI Worldwide,Software - Infrastructure,2.52B
ACLS,Axcelis Technologies,Semiconductor Equipment & Materials,5.51B
ACLX,Arcellx,Biotechnology,1.72B
ACM,AECOM,Engineering & Construction,12.05B
ACMR,ACM Research,Semiconductor Equipment & Materials,931.55M
ACN,Accenture,Information Technology Services,201.07B
ACNB,ACNB Corporation,Banks - Regional,288.62M
ACNT,Ascent Industries Co.,Steel,91.06M
ACON,Aclarion,Health Information Services,3.69M
ACOR,Acorda Therapeutics,Drug Manufacturers - Specialty & Generic,18.35M
ACR,ACRES Commercial Realty,REIT - Mortgage,71.33M
ACRE,Ares Commercial Real Estate,REIT - Mortgage,536.78M
ACRO,Acropolis Infrastructure Acquisition,Shell Companies,351.90M
ACRS,Aclaris Therapeutics,Diagnostics & Research,488.48M
ACRV,Acrivon Therapeutics,Biotechnology,264.87M
ACRX,AcelRx Pharmaceuticals,Drug Manufacturers - Specialty & Generic,17.81M
ACST,Acasti Pharma,Biotechnology,15.01M
ACT,Enact Holdings,Insurance - Specialty,4.63B
ACTG,Acacia Research,Specialty Business Services,383.56M
ACU,Acme United,Household & Personal Products,111.29M
ACVA,ACV Auctions,Auto & Truck Dealerships,2.50B
ACXP,Acurx Pharmaceuticals,Biotechnology,24.32M
ADAG,Adagene,Biotechnology,52.74M
ADAP,Adaptimmune Therapeutics,Biotechnology,176.41M
ADBE,Adobe,Software - Infrastructure,239.32B
ADC,Agree Realty,REIT - Retail,5.98B
ADCT,ADC Therapeutics,Biotechnology,104.03M
ADD,Color Star Technology Co.,Entertainment,18.51M
ADEA,Adeia,Software - Application,1.05B
ADER,26 Capital Acquisition,Shell Companies,115.93M
ADES,Advanced Emissions Solutions,Pollution & Treatment Controls,61.57M
ADEX,Adit EdTech Acquisition,Shell Companies,94.52M
ADI,Analog Devices,Semiconductors,88.78B
ADIL,Adial Pharmaceuticals,Biotechnology,4.18M
ADM,Archer-Daniels-Midland Company,Farm Products,43.33B
ADMA,ADMA Biologics,Biotechnology,888.38M
ADMP,Adamis Pharmaceuticals,Drug Manufacturers - Specialty & Generic,6.28M
ADN,Advent Technologies Holdings,Utilities - Renewable,33.58M
ADNT,Adient,Auto Parts,3.63B
ADOC,Edoc Acquisition,Shell Companies,41.16M
ADP,Automatic Data Processing,Staffing & Employment Services,104.28B
ADPT,Adaptive Biotechnologies,Biotechnology,888.96M
ADRT,Ault Disruptive Technologies,Shell Companies,165.17M
ADSE,ADS-TEC Energy,Electrical Equipment & Parts,377.67M
ADSK,Autodesk,Software - Application,46.15B
ADT,ADT Inc.,Security & Protection Services,5.79B
ADTH,AdTheorent Holding Company,Advertising Agencies,119.08M
ADTN,ADTRAN Holdings,Communication Equipment,634.18M
ADTX,Aditxt,Biotechnology,1.70M
ADUS,Addus HomeCare,Medical Care Facilities,1.45B
ADV,Advantage Solutions,Advertising Agencies,866.55M
ADVM,Adverum Biotechnologies,Biotechnology,161.59M
ADXN,Addex Therapeutics,Biotechnology,9.43M
AE,Adams Resources & Energy,Oil & Gas Refining & Marketing,93.78M
AEAE,AltEnergy Acquisition,Shell Companies,77.67M
AEE,Ameren,Utilities - Regulated Electric,21.13B
AEG,Aegon,Insurance - Diversified,9.81B
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,9.00M
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,1.18B
AEI,Alset EHome International,Real Estate - Development,12.10M
AEIS,Advanced Energy Industries,Electrical Equipment & Parts,4.24B
AEL,American Equity Investment Life Holding Company,Insurance - Life,4.20B
AEM,Agnico Eagle Mines,Gold,23.41B
AEMD,Aethlon Medical,Medical Devices,7.45M
AENT,Alliance Entertainment Holding,Entertainment,243.10M
AENZ,Aenza,Engineering & Construction,148.44M
AEO,American Eagle Outfitters,Apparel Retail,3.12B
AEON,AEON Biopharma,Biotechnology,171.00M
AEP,American Electric Power Company,Utilities - Regulated Electric,40.87B
AER,AerCap Holdings,Rental & Leasing Services,14.39B
AES,The AES Corporation,Utilities - Diversified,12.09B
AESI,Atlas Energy Solutions,Oil & Gas Equipment & Services,2.10B
AEVA,Aeva Technologies,Auto Parts,222.24M
AEY,ADDvantage Technologies Group,Electronics & Computer Distribution,5.64M
AEYE,AudioEye,Software - Application,55.84M
AEZS,Aeterna Zentaris,Biotechnology,13.31M
AFAR,Aura FAT Projects Acquisition,Shell Companies,156.78M
AFBI,Affinity Bancshares,Banks - Regional,92.99M
AFCG,AFC Gamma,REIT - Specialty,265.13M
AFG,American Financial Group,Insurance - Property & Casualty,9.73B
AFIB,Acutus Medical,Medical Devices,14.88M
AFL,Aflac,Insurance - Life,44.86B
AFMD,Affimed,Biotechnology,81.70M
AFRI,Forafric Global,Farm Products,301.05M
AFRM,Affirm Holdings,Software - Infrastructure,5.26B
AFYA,Afya Limited,Education & Training Services,1.36B
AG,First Majestic Silver,Silver,1.70B
AGAE,Allied Gaming & Entertainment,Entertainment,31.45M
AGBA,AGBA Acquisition,Shell Companies,41.83M
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,8.92B
AGE,AgeX Therapeutics,Biotechnology,29.60M
AGEN,Agenus,Biotechnology,497.24M
AGFY,Agrify,Engineering & Construction,3.91M
AGI,Alamos Gold,Gold,4.79B
AGIL,AgileThought,Software - Application,19.68M
AGIO,Agios Pharmaceuticals,Biotechnology,1.50B
AGL,agilon health,Medical Care Facilities,7.14B
AGLE,Aeglea BioTherapeutics,Biotechnology,52.92M
AGM,Federal Agricultural Mortgage,Credit Services,1.77B
AGM.A,Federal Agricultural Mortgage,Credit Services,1.78B
AGMH,AGM Group Holdings,Software - Application,40.51M
AGNC,AGNC Investment,REIT - Mortgage,5.92B
AGO,Assured Guaranty,Insurance - Specialty,3.39B
AGR,Avangrid,Utilities - Regulated Electric,13.51B
AGRI,AgriFORCE Growing Systems,Farm Products,4.16M
AGRO,Adecoagro,Farm Products,1.21B
AGRX,Agile Therapeutics,Drug Manufacturers - Specialty & Generic,3.97M
AGS,PlayAGS,Gambling,244.94M
AGTI,Agiliti,Health Information Services,1.28B
AGX,Argan,Engineering & Construction,553.32M
AGYS,Agilysys,Software - Application,1.74B
AHCO,AdaptHealth,Medical Devices,1.58B
AHG,Akso Health Group,Credit Services,10.72M
AHH,Armada Hoffler Properties,REIT - Diversified,1.01B
AHI,Advanced Human Imaging,Software - Application,106.15M
AHT,Ashford Hospitality Trust,REIT - Hotel & Motel,103.79M
AI,C3.ai,Information Technology Services,3.44B
AIB,AIB Acquisition,Shell Companies,40.09M
AIG,American International Group,Insurance - Diversified,41.87B
AIH,Aesthetic Medical International Holdings Group,Medical Care Facilities,28.95M
AIHS,Senmiao Technology,Credit Services,3.99M
AIM,AIM ImmunoTech,Biotechnology,32.56M
AIMAU,Aimfinity Investment I,Shell Companies,85.25M
AIMD,Ainos,Biotechnology,12.48M
AIN,Albany International,Textile Manufacturing,2.92B
AINC,Ashford,Asset Management,29.28M
AIP,Arteris,Semiconductors,227.26M
AIR,AAR Corp.,Aerospace & Defense,2.12B
AIRC,Apartment Income REIT,REIT - Residential,5.00B
AIRG,Airgain,Communication Equipment,44.30M
AIRI,Air Industries Group,Aerospace & Defense,9.57M
AIRS,AirSculpt Technologies,Medical Care Facilities,450.31M
AIRT,Air T,Integrated Freight & Logistics,58.34M
AIT,Applied Industrial Technologies,Industrial Distribution,5.95B
AIU,Meta Data,Education & Training Services,19.92B
AIV,Apartment Investment and Management Company,REIT - Residential,1.15B
AIXI,Xiao-I,Software - Application,286.75M
AIZ,Assurant,Insurance - Specialty,7.36B
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,49.05B
AJX,Great Ajax,REIT - Mortgage,153.11M
AKA,a.k.a. Brands Holding,Internet Retail,56.55M
AKAM,Akamai Technologies,Software - Infrastructure,15.60B
AKAN,Akanda,Drug Manufacturers - Specialty & Generic,1.75M
AKBA,Akebia Therapeutics,Biotechnology,213.82M
AKLI,Akili,Health Information Services,74.27M
AKO.A,Embotelladora Andina,Beverages - Non-Alcoholic,2.14B
AKO.B,Embotelladora Andina,Beverages - Non-Alcoholic,2.43B
AKR,Acadia Realty Trust,REIT - Retail,1.50B
AKRO,Akero Therapeutics,Biotechnology,2.67B
AKTS,Akoustis Technologies,Communication Equipment,126.80M
AKTX,"Akari Therapeutics,",Biotechnology,17.95M
AKU,Akumin,Diagnostics & Research,15.09M
AKYA,Akoya Biosciences,Medical Instruments & Supplies,254.98M
AL,Air Lease,Rental & Leasing Services,4.44B
ALAR,Alarum Technologies,Software - Infrastructure,8.23M
ALB,Albemarle,Specialty Chemicals,22.26B
ALBT,Avalon GloboCare,Real Estate Services,11.14M
ALC,Alcon,Medical Instruments & Supplies,41.31B
ALCC,AltC Acquisition,Shell Companies,661.24M
ALCO,Alico,Farm Products,181.82M
ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,154.20M
ALDX,Aldeyra Therapeutics,Biotechnology,444.74M
ALE,ALLETE,Utilities - Diversified,3.20B
ALEC,Alector,Biotechnology,494.60M
ALEX,Alexander & Baldwin,REIT - Diversified,1.30B
ALG,Alamo Group,Farm & Heavy Construction Machinery,2.04B
ALGM,Allegro MicroSystems,Semiconductors,7.22B
ALGN,Align Technology,Medical Devices,27.27B
ALGS,Aligos Therapeutics,Biotechnology,37.41M
ALGT,Allegiant Travel Company,Airlines,1.63B
ALHC,Alignment Healthcare,Healthcare Plans,1.11B
ALIM,Alimera Sciences,Drug Manufacturers - Specialty & Generic,175.60M
ALIT,Alight,Software - Application,4.29B
ALK,Alaska Air Group,Airlines,5.72B
ALKS,Alkermes,Biotechnology,4.53B
ALKT,Alkami Technology,Software - Application,1.58B
ALL,The Allstate Corporation,Insurance - Property & Casualty,27.64B
ALLE,Allegion,Security & Protection Services,9.64B
ALLG,Allego,Auto Parts,470.54M
ALLK,Allakos,Biotechnology,253.80M
ALLO,Allogene Therapeutics,Biotechnology,648.71M
ALLR,Allarity Therapeutics,Biotechnology,4.45M
ALLT,Allot,Software - Infrastructure,80.84M
ALLY,Ally Financial,Credit Services,7.82B
ALNT,Allied Motion Technologies,Electronic Components,550.91M
ALNY,Alnylam Pharmaceuticals,Biotechnology,23.66B
ALOR,ALSP Orchid Acquisition Corporation I,Shell Companies,78.38M
ALOT,AstroNova,Computer Hardware,111.12M
ALPN,Alpine Immune Sciences,Biotechnology,647.00M
ALPP,Alpine 4 Holdings,Metal Fabrication,29.86M
ALRM,Alarm.com Holdings,Software - Application,2.89B
ALRN,Aileron Therapeutics,Biotechnology,7.27M
ALRS,Alerus Financial,Banks - Regional,371.41M
ALSA,Alpha Star Acquisition,Shell Companies,135.93M
ALSN,Allison Transmission Holdings,Auto Parts,5.25B
ALT,Altimmune,Biotechnology,126.45M
ALTG,Alta Equipment Group,Rental & Leasing Services,453.15M
ALTI,AlTi Global,Asset Management,866.51M
ALTO,Alto Ingredients,Specialty Chemicals,269.49M
ALTR,Altair Engineering,Software - Infrastructure,5.21B
ALTU,Altitude Acquisition,Shell Companies,89.49M
ALUR,Allurion Technologies,Medical Devices,139.60M
ALV,Autoliv,Auto Parts,8.02B
ALVO,Alvotech,Drug Manufacturers - Specialty & Generic,2.54B
ALVR,AlloVir,Biotechnology,341.60M
ALX,Alexander's,REIT - Retail,957.82M
ALXO,ALX Oncology Holdings,Biotechnology,173.66M
ALYA,Alithya Group,Information Technology Services,163.42M
ALZN,Alzamend Neuro,Biotechnology,26.04M
AM,Antero Midstream,Oil & Gas Midstream,5.73B
AMAL,Amalgamated Financial,Banks - Regional,529.63M
AMAM,Ambrx Biopharma,Biotechnology,878.06M
AMAO,American Acquisition Opportunity,Shell Companies,34.80M
AMAT,Applied Materials,Semiconductor Equipment & Materials,121.23B
AMBA,Ambarella,Semiconductor Equipment & Materials,2.78B
AMBC,Ambac Financial Group,Insurance - Specialty,589.41M
AMBI,Ambipar Emergency Response,Waste Management,567.10M
AMBO,Ambow Education Holding,Education & Training Services,5.67M
AMBP,Ardagh Metal Packaging,Packaging & Containers,2.07B
AMC,AMC Entertainment Holdings,Entertainment,1.82B
AMCR,Amcor,Packaging & Containers,13.64B
AMCX,AMC Networks,Entertainment,484.64M
AMD,Advanced Micro Devices,Semiconductors,164.66B
AME,AMETEK,Specialty Industrial Machinery,36.32B
AMED,Amedisys,Medical Care Facilities,3.04B
AMEH,Apollo Medical Holdings,Medical Care Facilities,1.77B
AMG,Affiliated Managers Group,Asset Management,4.61B
AMGN,Amgen,Drug Manufacturers - General,137.14B
AMH,American Homes 4 Rent,REIT - Residential,14.60B
AMK,AssetMark Financial Holdings,Asset Management,2.03B
AMKR,Amkor Technology,Semiconductors,6.48B
AMLI,American Lithium,Other Industrial Metals & Mining,257.59M
AMLX,Amylyx Pharmaceuticals,Biotechnology,1.47B
AMN,AMN Healthcare Services,Medical Care Facilities,3.33B
AMNB,American National Bankshares,Banks - Regional,410.29M
AMP,Ameriprise Financial,Asset Management,34.29B
AMPE,Ampio Pharmaceuticals,Biotechnology,2.77M
AMPG,AmpliTech Group,Communication Equipment,17.93M
AMPH,Amphastar Pharmaceuticals,Drug Manufacturers - Specialty & Generic,2.59B
AMPL,Amplitude,Software - Application,1.39B
AMPS,Altus Power,Utilities - Renewable,1.01B
AMPX,Amprius Technologies,Electrical Equipment & Parts,396.00M
AMPY,Amplify Energy,Oil & Gas E&P,249.22M
AMR,Alpha Metallurgical Resources,Coking Coal,2.68B
AMRC,Ameresco,Engineering & Construction,2.20B
AMRK,A-Mark Precious Metals,Capital Markets,783.65M
AMRN,Amarin Corporation,Biotechnology,411.99M
AMRX,Amneal Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1.20B
AMS,American Shared Hospital Services,Medical Care Facilities,16.23M
AMSC,American Superconductor,Specialty Industrial Machinery,270.29M
AMSF,AMERISAFE,Insurance - Specialty,984.32M
AMST,Amesite,Software - Application,7.88M
AMSWA,American Software,Software - Application,405.21M
AMT,American Tower,REIT - Specialty,82.76B
AMTB,Amerant Bancorp,Banks - Regional,623.78M
AMTD,AMTD IDEA Group,Asset Management,3.44B
AMTI,Applied Molecular Transport,Biotechnology,11.41M
AMTX,Aemetis,Oil & Gas Refining & Marketing,193.46M
AMWD,American Woodmark,"Furnishings, Fixtures & Appliances",1.18B
AMWL,American Well,Health Information Services,378.62M
AMX,América Móvil,Telecom Services,69.96B
AMZN,Amazon.com,Internet Retail,"1,367.30B"
AN,AutoNation,Auto & Truck Dealerships,6.78B
ANAB,AnaptysBio,Biotechnology,532.24M
ANDE,The Andersons,Food Distribution,1.73B
ANEB,Anebulo Pharmaceuticals,Biotechnology,71.26M
ANET,Arista Networks,Computer Hardware,55.77B
ANF,Abercrombie & Fitch Co.,Apparel Retail,2.51B
ANGH,Anghami,Entertainment,24.45M
ANGI,Angi Inc.,Internet Content & Information,1.11B
ANGO,AngioDynamics,Medical Instruments & Supplies,330.86M
ANIK,Anika Therapeutics,Medical Devices,272.14M
ANIP,ANI Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1.29B
ANIX,Anixa Biosciences,Biotechnology,111.51M
ANNX,Annexon,Biotechnology,148.54M
ANSS,ANSYS,Software - Application,26.42B
ANTE,AirNet Technology,Telecom Services,9.99M
ANTX,AN2 Therapeutics,Biotechnology,443.22M
ANVS,Annovis Bio,Biotechnology,113.55M
ANY,Sphere 3D,Software - Application,17.14M
ANZU,Anzu Special Acquisition Corp I,Shell Companies,154.61M
AOGO,Arogo Capital Acquisition,Shell Companies,86.86M
AOMR,Angel Oak Mortgage,REIT - Mortgage,225.35M
AON,Aon plc,Insurance Brokers,67.37B
AORT,Artivion,Medical Devices,691.11M
AOS,A. O. Smith,Specialty Industrial Machinery,10.50B
AOSL,Alpha and Omega Semiconductor,Semiconductors,833.49M
AOUT,American Outdoor Brands,Leisure,123.02M
AP,Ampco-Pittsburgh,Metal Fabrication,68.49M
APA,APA Corporation,Oil & Gas E&P,13.19B
APAC,StoneBridge Acquisition,Shell Companies,82.06M
APAM,Artisan Partners Asset Management,Asset Management,2.55B
APCA,AP Acquisition,Shell Companies,235.03M
APCX,AppTech Payments,Software - Infrastructure,72.61M
APD,Air Products and Chemicals,Specialty Chemicals,64.04B
APDN,Applied DNA Sciences,Diagnostics & Research,18.99M
APEI,American Public Education,Education & Training Services,95.80M
APG,APi Group,Engineering & Construction,6.46B
APGB,Apollo Strategic Growth Capital II,Shell Companies,367.42M
APGE,Apogee Therapeutics,Biotechnology,1.19B
APH,Amphenol,Electronic Components,51.47B
API,Agora,Software - Application,291.96M
APLD,Applied Digital,Capital Markets,610.19M
APLE,Apple Hospitality REIT,REIT - Hotel & Motel,3.31B
APLM,Apollomics,Biotechnology,409.70M
APLS,Apellis Pharmaceuticals,Biotechnology,4.80B
APLT,Applied Therapeutics,Biotechnology,87.74M
APM,Aptorum Group,Biotechnology,9.18M
APO,Apollo Global Management,Asset Management,47.13B
APOG,Apogee Enterprises,Building Products & Equipment,1.10B
APP,AppLovin,Software - Application,13.83B
APPF,AppFolio,Software - Application,6.55B
APPN,Appian,Software - Infrastructure,3.42B
APPS,Digital Turbine,Software - Application,880.53M
APRE,Aprea Therapeutics,Biotechnology,13.60M
APRN,Blue Apron Holdings,Internet Retail,48.43M
APT,Alpha Pro Tech,Building Products & Equipment,54.21M
APTM,Alpha Partners Technology Merger,Shell Companies,238.45M
APTO,Aptose Biosciences,Biotechnology,26.14M
APTV,Aptiv,Auto Parts,27.61B
APVO,Aptevo Therapeutics,Biotechnology,4.55M
APWC,Asia Pacific Wire & Cable Corporation,Electrical Equipment & Parts,33.81M
APXI,APx Acquisition I,Shell Companies,119.45M
APYX,Apyx Medical,Medical Devices,148.97M
AQB,AquaBounty Technologies,Farm Products,17.12M
AQMS,Aqua Metals,Waste Management,108.81M
AQN,Algonquin Power & Utilities,Utilities - Renewable,5.09B
AQST,Aquestive Therapeutics,Drug Manufacturers - Specialty & Generic,110.49M
AQU,Aquaron Acquisition,Shell Companies,48.13M
AR,Antero Resources,Oil & Gas E&P,7.92B
ARAV,Aravive,Biotechnology,9.25M
ARAY,Accuray,Medical Devices,269.06M
ARBB,ARB IOT Group,Information Technology Services,54.44M
ARBE,Arbe Robotics,Software - Infrastructure,195.31M
ARBG,Aequi Acquisition,Shell Companies,95.63M
ARBK,Argo Blockchain,Capital Markets,54.07M
ARC,ARC Document Solutions,Specialty Business Services,144.83M
ARCB,ArcBest,Trucking,2.49B
ARCC,Ares Capital,Asset Management,10.72B
ARCE,Arco Platform,Education & Training Services,904.22M
ARCH,Arch Resources,Thermal Coal,2.34B
ARCO,Arcos Dorados Holdings,Restaurants,2.11B
ARCT,Arcturus Therapeutics Holdings,Biotechnology,835.72M
ARDX,Ardelyx,Biotechnology,844.98M
ARE,Alexandria Real Estate Equities,REIT - Office,19.96B
AREB,American Rebel Holdings,Footwear & Accessories,2.84M
AREC,American Resources,Coking Coal,101.68M
AREN,The Arena Group Holdings,Internet Content & Information,94.69M
ARES,Ares Management,Asset Management,30.44B
ARGO,Argo Group International Holdings,Insurance - Property & Casualty,1.05B
ARGX,argenx SE,Biotechnology,29.68B
ARHS,Arhaus,Home Improvement Retail,1.34B
ARI,Apollo Commercial Real Estate Finance,REIT - Mortgage,1.47B
ARIS,Aris Water Solutions,Utilities - Regulated Water,613.74M
ARIZ,Arisz Acquisition,Shell Companies,55.11M
ARKO,Arko Corp.,Specialty Retail,907.73M
ARKR,Ark Restaurants,Restaurants,58.96M
ARL,American Realty Investors,Real Estate - Development,333.86M
ARLO,Arlo Technologies,Security & Protection Services,927.38M
ARLP,"Alliance Resource Partners,",Thermal Coal,2.57B
ARMK,Aramark,Specialty Business Services,9.73B
ARMP,Armata Pharmaceuticals,Biotechnology,105.85M
AROC,Archrock,Oil & Gas Equipment & Services,1.96B
AROW,Arrow Financial,Banks - Regional,287.20M
ARQQ,Arqit Quantum,Software - Infrastructure,118.37M
ARQT,Arcutis Biotherapeutics,Biotechnology,477.20M
ARR,ARMOUR Residential REIT,REIT - Mortgage,1.11B
ARRW,Arrowroot Acquisition,Shell Companies,122.38M
ARRY,Array Technologies,Solar,3.44B
ARTE,Artemis Strategic Investment,Shell Companies,75.58M
ARTL,Artelo Biosciences,Biotechnology,5.42M
ARTNA,Artesian Resources,Utilities - Regulated Water,471.39M
ARTW,Art's-Way Manufacturing Co.,Farm & Heavy Construction Machinery,13.30M
ARVL,Arrival,Auto Manufacturers,28.89M
ARVN,Arvinas,Biotechnology,1.44B
ARW,Arrow Electronics,Electronics & Computer Distribution,7.37B
ARWR,Arrowhead Pharmaceuticals,Biotechnology,2.99B
ARYD,ARYA Sciences Acquisition Corp IV,Shell Companies,84.82M
ASA,ASA Gold and Precious Metals,Asset Management,281.44M
ASAI,Sendas Distribuidora,Grocery Stores,3.43B
ASAN,Asana,Software - Application,4.68B
ASB,Associated Banc-Corp,Banks - Regional,2.55B
ASC,Ardmore Shipping,Marine Shipping,521.38M
ASCA,A SPAC I Acquisition,Shell Companies,58.07M
ASCB,A SPAC II Acquisition,Shell Companies,78.00M
ASGN,ASGN Incorporated,Information Technology Services,3.98B
ASH,Ashland,Specialty Chemicals,4.34B
ASIX,AdvanSix,Chemicals,893.68M
ASLE,AerSale,Airports & Air Services,699.10M
ASLN,ASLAN Pharmaceuticals,Biotechnology,33.51M
ASM,Avino Silver & Gold Mines,Other Precious Metals & Mining,80.55M
ASMB,Assembly Biosciences,Biotechnology,46.97M
ASML,ASML Holding,Semiconductor Equipment & Materials,256.11B
ASND,Ascendis Pharma,Biotechnology,5.56B
ASNS,Actelis Networks,Communication Equipment,2.23M
ASO,Academy Sports and Outdoors,Specialty Retail,3.80B
ASPA,Abri SPAC I,Shell Companies,26.37M
ASPI,ASP Isotopes,Chemicals,46.73M
ASPN,Aspen Aerogels,Building Products & Equipment,389.65M
ASPS,Altisource Portfolio Solutions,Real Estate Services,84.92M
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Airports & Air Services,8.25B
ASRT,Assertio Holdings,Drug Manufacturers - Specialty & Generic,306.33M
ASRV,AmeriServ Financial,Banks - Regional,53.84M
ASST,Asset Entities,Internet Content & Information,8.53M
ASTC,Astrotech,Aerospace & Defense,16.45M
ASTE,Astec Industries,Farm & Heavy Construction Machinery,1.18B
ASTI,Ascent Solar Technologies,Solar,4.69M
ASTL,Algoma Steel Group,Steel,744.91M
ASTR,Astra Space,Aerospace & Defense,66.90M
ASTS,AST SpaceMobile,Telecom Services,816.28M
ASUR,Asure Software,Software - Application,285.22M
ASX,ASE Technology Holding Co.,Semiconductors,17.64B
ASXC,Asensus Surgical,Medical Devices,74.41M
ASYS,Amtech Systems,Semiconductor Equipment & Materials,121.41M
ATAI,Atai Life Sciences,Biotechnology,255.66M
ATAK,Aurora Technology Acquisition,Shell Companies,115.08M
ATAQ,Altimar Acquisition Corp. III,Shell Companies,82.08M
ATAT,Atour Lifestyle Holdings,Lodging,2.54B
ATEC,Alphatec Holdings,Medical Devices,1.74B
ATEK,Athena Technology Acquisition Corp. II,Shell Companies,128.75M
ATEN,A10 Networks,Software - Infrastructure,1.09B
ATER,Aterian,"Furnishings, Fixtures & Appliances",29.35M
ATEX,Anterix,Telecom Services,633.55M
ATGE,Adtalem Global Education,Education & Training Services,1.79B
ATHA,Athira Pharma,Biotechnology,88.67M
ATHE,Alterity Therapeutics,Biotechnology,10.75M
ATHM,Autohome,Internet Content & Information,3.69B
ATHX,Athersys,Biotechnology,10.33M
ATI,ATI Inc.,Metal Fabrication,5.62B
ATIF,ATIF Holdings,Capital Markets,13.96M
ATIP,ATI Physical Therapy,Medical Care Facilities,29.15M
ATKR,Atkore,Electrical Equipment & Parts,5.40B
ATLC,Atlanticus Holdings,Credit Services,497.87M
ATLO,Ames National,Banks - Regional,164.83M
ATLX,Atlas Lithium,Other Precious Metals & Mining,261.54M
ATMC,AlphaTime Acquisition,Shell Companies,95.22M
ATMU,Atmus Filtration Technologies,Pollution & Treatment Controls,1.86B
ATMV,AlphaVest Acquisition,Shell Companies,96.49M
ATNF,180 Life Sciences,Biotechnology,3.35M
ATNI,ATN International,Telecom Services,564.01M
ATNM,Actinium Pharmaceuticals,Biotechnology,162.53M
ATO,Atmos Energy,Utilities - Regulated Gas,17.47B
ATOM,Atomera,Semiconductor Equipment & Materials,172.13M
